	number	MSI_level
met_001	1	1
met_002	2	1
met_003	3	1
met_004	4	1
met_005	5	2
met_006	6	1
met_007	7	1
met_008	8	1
met_009	9	1
met_010	10	1
met_011	11	2
met_012	12	1
met_013	13	1
met_014	14	1
met_015	15	1
met_016	16	1
met_017	17	2
met_018	18	1
met_019	19	1
met_020	20	1
met_021	21	1
met_022	22	2
met_023	23	1
met_024	24	2
met_025	25	2
met_026	26	1
met_027	27	1
met_028	28	1
met_029	29	1
met_030	30	2
met_031	31	1
met_032	32	2
met_033	33	1
met_034	34	1
met_035	35	2
met_036	36	1
met_037	37	2
met_038	38	2
met_039	39	2
met_040	40	2
met_041	41	1
met_042	42	1
met_043	43	2
met_044	44	2
met_045	45	1
met_046	46	1
met_047	47	2
met_048	48	1
met_049	49	1
met_050	50	1
met_051	51	2
met_052	52	2
met_053	53	1
met_054	54	2
met_055	55	2
met_056	56	2
met_057	57	2
met_058	58	1
met_059	59	2
met_060	60	2
met_061	61	2
met_062	62	2
met_063	63	2
met_064	64	1
met_065	65	1
met_066	66	2
met_067	67	2
met_068	68	2
met_069	69	1
met_070	70	2
met_071	71	2
met_072	72	2
met_073	73	1
met_074	74	1
met_075	75	1
met_076	76	2
met_077	77	2
met_078	78	2
met_079	79	2
met_080	80	2
met_081	81	2
met_082	82	1
met_083	83	1
met_084	84	1
met_085	85	1
met_086	86	1
met_087	87	1
met_088	88	2
met_089	89	2
met_090	90	1
met_091	91	1
met_092	92	1
met_093	93	2
met_094	94	2
met_095	95	2
met_096	96	1
met_097	97	1
met_098	98	2
met_099	99	2
met_100	100	2
met_101	101	1
met_102	102	1
met_103	103	1
met_104	104	1
met_105	105	2
met_106	106	1
met_107	107	2
met_108	108	2
met_109	109	2
met_110	110	1
met_111	111	2
met_112	112	2
met_113	113	1
