variableMetadata	mz	rt
M81.524T70	81.52351013	70.29784451
M81.523T36	81.52349512	35.95647988
M81.524T124	81.52354019	123.5096532
M81.605T62	81.60548036	61.78835891
M81.633T44	81.63323734	43.70694913
M82.025T59	82.02477981	59.49840694
M82.523T47	82.52268073	46.86225329
M83.52T53	83.51993952	52.54517075
M84.047T59	84.0469907	58.95691622
M85.531T75	85.5305276	75.34771535
M86.099T81	86.099216	80.98378266
M86.521T43	86.52069023	42.83441056
M87.047T339	87.04674186	339.2751257
M87.047T652	87.0467279	652.4946267
M87.058T40	87.05772009	39.60905547
M89.063T255	89.06263568	255.0942085
M89.063T170	89.06266366	170.2453013
M89.148T158	89.14807717	158.0965509
M89.51T1385	89.50966847	1385.043145
M90.011T1385	90.0107254	1384.981283
M90.058T40	90.05769453	40.25205337
M90.066T165	90.06587156	165.1384276
M90.066T264	90.06580956	263.9491842
M90.066T225	90.06586188	225.1020035
M90.506T73	90.50595932	72.71502618
M90.51T1381	90.50992241	1380.936506
M91.021T155	91.02084886	154.5091413
M91.021T59	91.02094009	59.03912572
M91.508T1380	91.50765075	1379.683617
M91.522T59	91.52176381	59.14978541
M92.539T116	92.53893896	116.3328801
M95.088T155	95.08779229	154.9520966
M96.511T54	96.51079935	53.61540381
M97.039T75	97.03920288	75.34771535
M97.994T116	97.99377332	116.4964514
M98.978T69	98.97838029	69.27356585
M98.978T124	98.97830166	123.9684741
M98.978T41	98.9784227	40.66576003
M99.511T73	99.51060047	72.81032578
M99.511T48	99.51077268	48.06842246
M100.017T50	100.0173119	50.21928524
M101.007T50	101.0066087	50.36815634
M101.011T35	101.0111687	35.17955922
M101.026T73	101.0258903	72.71502618
M101.074T844	101.073735	843.6337392
M102.037T48	102.0372909	48.17692568
M104.11T1019	104.1101124	1018.623341
M104.11T1047	104.1101062	1047.248681
M104.11T992	104.1100533	992.4576784
M104.11T40	104.1098087	39.54115124
M104.996T1033	104.9956185	1033.189174
M104.996T1066	104.9955993	1066.220114
M104.996T980	104.9955539	979.7903177
M104.995T834	104.9954405	834.1890566
M104.995T532	104.9952924	531.833618
M104.995T793	104.9954129	793.275991
M104.995T871	104.9954447	871.4333228
M104.995T1374	104.9951312	1374.460659
M104.995T927	104.9954966	927.2704765
M104.995T52	104.9954605	52.33124286
M104.995T722	104.9954355	722.0267665
M104.995T749	104.9954288	749.0278751
M104.995T477	104.9952713	476.7831691
M104.995T448	104.9952747	448.4858402
M104.995T660	104.995319	660.2613431
M105.018T59	105.0183269	59.05224576
M105.037T166	105.0367685	165.6840889
M105.036T259	105.03601	258.6962631
M105.074T843	105.0742434	843.4304162
M105.088T1026	105.0883394	1026.412202
M105.088T870	105.0880694	869.8539313
M105.088T1374	105.0881156	1374.318544
M105.12T1374	105.1198884	1374.318544
M105.538T157	105.538078	156.5811664
M105.999T1375	105.9985678	1374.51568
M106.045T75	106.0445768	75.34771535
M106.076T844	106.0758364	843.7135283
M107.034T43	107.0340134	43.09426429
M107.508T47	107.5082594	47.04312666
M107.526T77	107.5262147	76.96131283
M108.036T166	108.0364937	165.9421683
M108.534T46	108.5337888	45.555366
M109.104T336	109.1039809	335.9167868
M109.104T386	109.1038218	385.8042147
M109.104T584	109.1040645	584.4708663
M109.104T732	109.1040458	732.2508118
M110.016T41	110.0157307	41.44646298
M111.019T73	111.0189768	72.78969413
M111.024T42	111.0237361	41.78374409
M111.023T1381	111.0233522	1381.416454
M111.12T428	111.1196051	428.0927364
M111.12T324	111.1197321	323.699976
M111.12T248	111.1197358	248.0681893
M111.119T277	111.1191813	277.0007489
M111.534T59	111.5344755	59.06965408
M112.032T43	112.0317192	42.82699166
M112.053T51	112.0534075	51.4535156
M112.115T33	112.1149146	33.44257492
M113.038T66	113.0376996	65.8492613
M113.052T116	113.0524353	116.3328801
M113.062T155	113.0616293	154.9524321
M113.099T160	113.0990245	159.8792998
M114.041T66	114.0406577	65.91298192
M114.094T162	114.0943511	161.7900827
M114.516T44	114.5162023	44.24411309
M114.534T166	114.5343777	165.8406062
M115.042T148	115.0417762	147.9908233
M115.079T154	115.0785315	154.4235233
M115.524T43	115.5237407	43.26291806
M116.074T43	116.0737504	42.73131723
M116.989T68	116.9891068	67.96052159
M117.024T54	117.0240899	53.64297074
M117.077T43	117.0767159	42.65090468
M118.089T41	118.0894072	40.72807938
M119.053T990	119.0525847	990.3375547
M119.092T49	119.0924188	49.12412331
M120.024T48	120.0241212	48.19672902
M120.068T40	120.0681967	40.21630905
M120.084T132	120.084022	131.866566
M120.969T1376	120.969442	1375.771907
M121.068T843	121.0678425	843.360044
M121.087T132	121.0871282	131.5066971
M121.524T41	121.5238346	41.4075863
M122.54T40	122.539629	40.36023212
M123.058T63	123.0584416	63.15585064
M123.056T1375	123.056005	1375.206231
M124.028T35	124.0276896	35.26426427
M124.042T55	124.0424448	55.39663727
M124.068T116	124.0679537	116.3328801
M124.128T35	124.1283405	34.77186288
M125.029T35	125.0290653	35.01717187
M125.045T55	125.0454176	55.28501983
M125.532T59	125.5321439	59.05224576
M126.026T35	126.0256561	35.21158453
M126.034T59	126.033619	59.10101558
M127.042T42	127.0418785	42.00833294
M127.042T843	127.0417223	843.1830312
M127.053T144	127.0531264	143.95305
M127.076T116	127.075999	116.3328801
M127.115T732	127.1148808	732.2508118
M127.114T329	127.1142491	329.1069491
M128.55T169	128.5501495	168.7571642
M129.056T59	129.0555412	59.05061841
M129.094T140	129.0938934	139.9988521
M129.142T34	129.1417408	33.90126427
M130.053T59	130.0532525	59.05113262
M130.054T40	130.0535101	40.05041244
M130.162T293	130.1622436	292.7459478
M130.162T162	130.1622554	161.5405266
M130.529T41	130.5293401	41.38491614
M130.529T70	130.5291155	69.88808973
M130.606T33	130.605555	33.32384299
M131.03T44	131.0303258	43.55845133
M131.056T59	131.0560037	59.05224576
M131.536T41	131.5362697	41.37452981
M132.105T81	132.1052981	80.98378266
M132.208T81	132.2084277	81.49505705
M133.054T66	133.0535372	65.91298311
M133.064T40	133.0641685	39.70407538
M133.084T160	133.0841715	160.2460353
M133.108T82	133.1083589	81.56017614
M134.12T47	134.1202472	47.11138068
M135.03T44	135.0296995	44.4100278
M135.105T161	135.1048164	160.8226647
M136.065T116	136.0652695	115.8074265
M136.065T54	136.0650353	53.6674428
M136.17T54	136.170033	53.59335788
M136.511T55	136.5114447	54.76111728
M136.606T33	136.6055995	33.21847658
M136.944T38	136.9436389	37.56864372
M137.049T100	137.0493023	100.4836753
M137.054T61	137.0535461	60.99717063
M137.063T161	137.0629487	161.0039954
M137.067T54	137.0673519	53.6102854
M137.067T116	137.0667029	115.5984346
M138.052T101	138.0516464	100.5163064
M138.058T42	138.0581088	42.10617389
M140.005T70	140.0053293	69.66043831
M140.005T36	140.0052863	35.94656009
M140.005T125	140.0054933	124.5976733
M140.005T1393	140.0052905	1393.200949
M140.066T168	140.0664684	167.8672853
M140.071T1382	140.0708751	1381.935863
M140.071T1489	140.0705133	1488.641594
M140.071T1423	140.0705234	1422.615445
M140.112T121	140.1118053	121.4258504
M140.112T48	140.1117049	47.64559274
M140.149T47	140.1489042	46.64369382
M140.225T47	140.2252453	47.4102182
M140.256T47	140.2555084	47.23663148
M141.009T69	141.0085564	69.27356585
M141.009T47	141.0087132	46.93799605
M141.094T156	141.0941254	156.1375912
M142.007T49	142.0065494	48.8990959
M142.018T66	142.017608	65.961077
M142.038T35	142.0380747	34.83828696
M143.023T35	143.0225437	35.28692004
M143.07T56	143.0704013	55.6113471
M143.13T35	143.1299253	34.80507492
M143.146T545	143.1461826	545.0679821
M143.999T69	143.9989469	68.74818203
M144.024T35	144.0244735	34.80507492
M145.011T1403	145.0111578	1403.185344
M145.012T1476	145.0118532	1475.797898
M145.021T35	145.0205851	35.01717187
M145.052T42	145.0521037	41.73773031
M145.611T33	145.6111555	33.21937042
M146.169T34	146.1685242	33.97698677
M146.169T1375	146.1686025	1375.163391
M146.277T34	146.2772622	33.90811746
M146.316T34	146.3162777	33.90126427
M146.393T34	146.3928923	33.77204496
M146.424T34	146.42428	33.75855601
M147.035T43	147.0349967	42.76726467
M147.069T843	147.0685523	843.3273738
M147.08T40	147.0801674	40.04167919
M147.116T37	147.1162821	36.60313334
M147.171T34	147.1714458	33.93511876
M148.066T41	148.0656589	40.67592164
M149.027T1062	149.02725	1061.961983
M149.027T59	149.027318	59.0047209
M149.027T812	149.0266422	811.9685414
M149.064T132	149.0636403	131.5185425
M149.121T302	149.1207261	302.4734496
M150.058T413	150.0584832	413.0393399
M150.062T56	150.0619709	56.38837953
M151.021T76	151.0209584	76.02624862
M151.043T41	151.0433894	41.47167609
M151.056T155	151.0561494	154.7793191
M151.1T114	151.1003319	113.6467872
M152.036T59	152.0360641	59.159211
M152.063T172	152.0634672	171.5675087
M152.061T54	152.0605453	53.61368569
M152.06T104	152.0604415	104.2955355
M152.104T114	152.1035565	113.6922638
M152.589T41	152.5888669	41.41568956
M153.092T157	153.0916327	156.6445057
M153.982T1397	153.982444	1396.729836
M153.982T1493	153.9824027	1493.057794
M154.089T161	154.0890017	161.098622
M154.09T60	154.0897233	60.42686634
M155.075T161	155.0746701	160.8156263
M155.978T1397	155.9781092	1396.861679
M155.978T1428	155.9780565	1428.045236
M155.978T125	155.9779716	124.7103011
M155.978T9	155.9779393	8.897887251
M155.978T1473	155.9779986	1473.078573
M155.978T30	155.9779488	29.71657027
M155.978T71	155.9779588	71.37959534
M156.043T43	156.0431249	42.75798348
M156.079T38	156.0794624	38.26450633
M156.09T1398	156.0895575	1398.155974
M156.141T89	156.1414822	88.95867279
M156.98T1398	156.9801505	1398.085998
M156.98T1490	156.9801408	1489.808662
M156.983T73	156.9834468	72.71593071
M157.048T42	157.0476942	42.15036193
M157.051T77	157.0508177	76.99638343
M157.088T159	157.0876571	159.4649312
M157.173T1491	157.1734494	1491.401291
M157.173T1383	157.1734963	1383.158359
M157.174T1440	157.1735492	1440.37292
M157.979T1426	157.9789894	1425.929972
M157.978T1379	157.9784941	1379.179055
M157.979T1489	157.9791448	1488.545356
M158.016T47	158.0159435	46.91586767
M158.047T54	158.0471105	53.60266273
M158.1T280	158.0995065	280.4530361
M158.159T733	158.1588532	733.352219
M158.158T60	158.1579429	60.32820248
M159T62	159.0002025	62.39787992
M159T127	159.0004188	126.7616452
M159T1484	159.0001431	1483.908383
M159T1422	159.0001497	1422.017172
M159T5	159.000131	5.477862878
M158.998T1381	158.9979456	1380.756428
M159.113T60	159.1132346	59.79115868
