names	sampleType	injectionOrder	batch	M53T345	M58T69	M59T246	M59T62	M59T270	M62T56	M64T348	M64T379	M65T347	M65T379
QC1_001	pool	14	ne1	22916.8503183278	414335.514903694	31597.2963818844	10396.7469524831	5545.85336555007	6357771.36568666	15280.9335261441	15209.3350889908	NA	0
HU_neg_017	sample	17	ne1	7902.36628611891	114393.000721447	0	0	0	2566772.45126903	22883.7849648464	0	NA	0
HU_neg_018	sample	18	ne1	14186.1927260197	126621.285371012	73263.1745467661	48807.7004751479	45499.2532566739	7918786.43270129	29412.2985860409	6028.453373865	NA	0
HU_neg_020	sample	19	ne1	10015.9019240688	143110.676434993	0	0	0	2711781.00431142	23567.9721870871	4435.36159361631	NA	0
HU_neg_021	sample	20	ne1	26094.828028276	209940.624575068	44029.1138677143	11743.5608955695	45259.1527113759	5549057.18386628	0	25447.569115331	NA	19319.784477314
HU_neg_027	sample	22	ne1	0	30490.3229152273	0	6182.11173521795	0	3117104.41608518	14820.0715202055	4312.86095485588	NA	0
HU_neg_028	sample	23	ne1	38332.1570293848	120354.978068946	65544.3440435328	12959.6928185789	0	5011009.07575411	22143.6001774649	11706.2740758898	NA	2358.91451043098
HU_neg_032	sample	25	ne1	8393.52483632099	228452.378845564	0	0	2815.48976935071	4074773.95643709	16541.7006989418	3313.44127061182	NA	0
HU_neg_034	sample	26	ne1	6785.85486172605	821961.331895979	0	13214.928374308	0	5772294.1134195	9669.77585057873	9061.05119485424	0	0
QC1_002	pool	27	ne1	64557.5696044546	387436.306124251	25926.9014019498	9441.21811649049	10949.7954145854	5721367.6809163	23271.2867953649	16782.2052996299	0	6146.07821441386
HU_neg_037	sample	32	ne1	15085.3806578423	572790.502672348	0	21024.2387239496	0	5145680.08148254	2990.68873644705	0	0	0
HU_neg_041	sample	34	ne1	0	23106.4532699009	3917.11331480479	9484.81294657684	0	2157188.76930328	8903.43600544316	5667.26299585238	0	0
HU_neg_043	sample	36	ne1	55618.4950303317	344733.839950306	12239.4899545428	28922.8830888333	0	3126857.9926602	6121.28093859868	12991.2688341502	0	0
HU_neg_044	sample	37	ne1	0	105149.982589545	0	5798.88774680255	0	1628726.03424121	11176.880956293	2595.2250512392	17577.7523599669	0
HU_neg_047	sample	38	ne1	0	38849.1835427455	5580.71066540823	0	0	3766792.65982601	7784.81015421122	14366.127214807	12716.9483154491	0
HU_neg_048	sample	39	ne1	74378.564916877	84923.317737559	16812.3761849151	12768.8471292001	8265.6376628611	5120638.25871586	10214.4243042097	16545.9894306663	0	1796.47735198171
QC1_003	pool	40	ne1	69385.6823681573	438883.454352924	33894.9796613836	12163.389542402	17809.4825112921	5202475.82491676	13658.6556594957	11684.8398790874	0	7125.33879092052
HU_neg_049	sample	43	ne1	89437.9795664756	94512.4350719824	2679.72010679899	7796.78504801455	22617.8849477442	11022459.6272805	0	3107.76471330431	0	2635.27150058506
HU_neg_050	sample	44	ne1	48320.6149305083	348585.770923454	73672.8889432879	20905.687737515	14643.2808429715	4684921.30148651	38058.8378477906	11722.0952725287	0	5182.89231545897
HU_neg_051	sample	45	ne1	0	43074.9404587368	0	0	0	2839212.71131481	2878.48790076907	5275.55429263035	0	2227.07955856423
HU_neg_052	sample	46	ne1	27549.0211475775	315206.69942588	3400.83259108738	11215.9678046422	3281.79638334132	2890474.78696583	39018.9545882897	14250.7522230372	0	14915.0599008699
HU_neg_055	sample	48	ne1	17372.8580621263	35781.896819856	2420.80657839847	5647.13737920437	0	3713953.83059064	4719.68500893146	4803.06049170028	0	0
HU_neg_059	sample	50	ne1	49331.7569391658	207110.900173121	40672.2254646222	15725.7960558992	6054.7183419183	4275004.45650596	15263.0277711816	7338.81247207245	0	0
HU_neg_060	sample	51	ne1	52762.8909562027	216905.390687518	24724.1611707945	18537.3756077814	31230.8721808582	4126998.73211027	48443.7738973598	26264.8489779139	9227.52812225522	36884.2824796481
HU_neg_061	sample	52	ne1	14701.2645921527	116178.215101415	11933.6736580781	13625.2211326419	2618.38617028143	2932237.04913505	6608.04171261367	11464.6541557274	0	7971.93053414221
QC1_004	pool	53	ne1	45264.5638569828	429134.11045188	19748.6639719327	11844.8698031647	0	6026891.12836632	8855.6720199861	17754.8661729327	0	21546.7130945337
HU_neg_064	sample	57	ne1	0	0	0	2589.06675311486	0	1767239.44841883	0	5181.7017101266	0	1106.78816682253
HU_neg_065	sample	58	ne1	22800.9849561408	131023.276690185	48648.2098794486	23129.6650677017	48795.9182036854	2988963.52443317	0	3887.73796894503	0	0
